author_id_from,author_screen_name_from,status_id,to,edge_type
215374612,nataschachtena,1186374525983719424,OpenEd19,hashtag
215374612,nataschachtena,1183423255119454209,MarkingOER,hashtag
998783211319844865,nadiabrashier,1329605678240051202,Verzuz,hashtag
1088512998493294592,disinformediain,1367533647579013127,ACFrontPage,hashtag
1088512998493294592,disinformediain,1367533647579013127,disinformation,hashtag
1088512998493294592,disinformediain,1363978218164932618,CountdownToMars,hashtag
1088512998493294592,disinformediain,1362103779743698947,COVID19,hashtag
1088512998493294592,disinformediain,1361730007773704194,disinformation,hashtag
1088512998493294592,disinformediain,1361729785605599236,disinformation,hashtag
1088512998493294592,disinformediain,1361381906248523783,China,hashtag
1088512998493294592,disinformediain,1361381906248523783,US,hashtag
1088512998493294592,disinformediain,1361381906248523783,Russia,hashtag
1088512998493294592,disinformediain,1361381906248523783,Iran,hashtag
1088512998493294592,disinformediain,1359577164472057857,Uganda,hashtag
1088512998493294592,disinformediain,1357746310384939009,Myanmar,hashtag
1088512998493294592,disinformediain,1356404130378641409,NatSec,hashtag
1088512998493294592,disinformediain,1356404130378641409,disinfo,hashtag
1088512998493294592,disinformediain,1356404130378641409,ForeignPolicy,hashtag
1088512998493294592,disinformediain,1356404130378641409,HumanRights,hashtag
1088512998493294592,disinformediain,1353779397422157835,HIRING,hashtag
1088512998493294592,disinformediain,1349831589673500673,StopTheStealing,hashtag
1088512998493294592,disinformediain,1349831514280898575,StopTheStealing,hashtag
1088512998493294592,disinformediain,1349463739276406790,Brazil,hashtag
1088512998493294592,disinformediain,1349406452931309570,Uganda,hashtag
1088512998493294592,disinformediain,1349077451801030656,Brazil,hashtag
1088512998493294592,disinformediain,1348707407141212163,Capitol,hashtag
1088512998493294592,disinformediain,1347639719790833669,Latvia,hashtag
1088512998493294592,disinformediain,1347639719790833669,COVID19,hashtag
1088512998493294592,disinformediain,1347298608954171393,capitolbreach,hashtag
1088512998493294592,disinformediain,1346951607301394433,WashingtonDC,hashtag
1088512998493294592,disinformediain,1339661534826549251,disinformation,hashtag
1088512998493294592,disinformediain,1339259899008659456,Venezuela,hashtag
1088512998493294592,disinformediain,1339259899008659456,Maduro,hashtag
1088512998493294592,disinformediain,1339018931399516160,NagornoKarabakh,hashtag
1088512998493294592,disinformediain,1336363272270974978,360StratCom,hashtag
1088512998493294592,disinformediain,1334530958758961153,360StratCom,hashtag
1088512998493294592,disinformediain,1333821437845630979,DFRLabCoffeeBreak,hashtag
1088512998493294592,disinformediain,1330922137935343619,COVID19,hashtag
1088512998493294592,disinformediain,1330922137935343619,Brazil,hashtag
1088512998493294592,disinformediain,1330922137935343619,disinformation,hashtag
1088512998493294592,disinformediain,1329522134167793668,Georgia,hashtag
1088512998493294592,disinformediain,1329176417129664525,Georgia,hashtag
